publishedAt,authorDisplayName,textDisplay,likeCount
2024-07-11T13:49:01Z,@hendyrahman7707,"hidupku jd tidak tenang stelah menonton ini<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",0
2024-07-11T13:48:34Z,@nanda_fitri3035,kenapa cuma Xaviera yang dishoot sendiri 😂,0
2024-07-11T13:48:29Z,@andinputrilestari5515,Kaget trending 1,0
2024-07-11T13:48:27Z,@AyasTyas-m1y,Yok bisa yok media Indonesia angkat dan apresiasi generasi muda cerdas dan gemilang. Mudah mudahan kedepannya para pemimpin dan penguasa negara ini betul betul orang yang cerdas berkualitas memiliki kemampuan dan kepribadian yang dapat dicontoh.,3
2024-07-11T13:47:28Z,@eriyaldieriyaldi5561,"Keren nih konten bang densu,,, mendidik banget dan positif banget",0
2024-07-11T13:47:27Z,@isdiantoihs6132,Kalian bilang... Belajar... Belajar... Penasaran belajarnya py tho jane... 😂,0
2024-07-11T13:47:26Z,@hudamaru7181,Sandy terasa jiwa ambisius sampe penonton ❤,0
2024-07-11T13:47:20Z,@enamichici,konten terharu sepanjang idup gua😭😭,0
2024-07-11T13:47:14Z,@mrnopriansyah,Alhamdulillah bisa dipertemukan dgn orang² ini,0
2024-07-11T13:47:13Z,@vaniabaneska8569,KEREN BANGETTTT SUMPAHHHH,0
2024-07-11T13:46:44Z,@secretperson3762,"Bunga tulip bukannya dari turki yaa?,aku pernah bca di buku soalnya but cmiiw",0
2024-07-11T13:46:05Z,@safitrioktavia3072,Sumpah seru banget bahasan ini meskipun belum pernah merasakan jadi orang2 seperti mereka sih. Sumpah positif banget,0
2024-07-11T13:45:59Z,@MonMon-rv4ee,Keren sekali kalian semua,0
2024-07-11T13:46:08Z,@MonMon-rv4ee,❤,0
2024-07-11T13:45:37Z,@firafr1127,"Kaliaaan postive vibes bgtt … shakira lebih2, selalu senyum masyaallah",0
2024-07-11T13:45:31Z,@ahmadsufyan4214,Semoga suatu saat nanti pemerintah menyiapkan tempat untuk mereka di Indonesia.,0
2024-07-11T13:45:29Z,@rafikaardilla7741,"Keren, motivasi ciptakan generasi emas like them ❤",0
2024-07-11T13:45:24Z,@julkarnain4001,Membaca dari karakter tubuh mereka menunjukan kecerdasan,0
2024-07-11T13:45:17Z,@shyfamldyaa2511,huhu keren² bgt ❤,0
2024-07-11T13:45:16Z,@Ameliaratna23333,Sandy diluar nurul kecepatan menghitungnya🎉🎉🎉,0
2024-07-11T13:44:42Z,@muisabdul6287,Safira positive vibes bgt,0
2024-07-11T13:43:58Z,@astyindahsari9357,"Anak anaku , sering sering mam lele sma soto ayam yah",0
2024-07-11T13:43:29Z,@irpantan5030,"generasi muda skrng kebanyakan bikin konten2 kek orng idiot bg,,, apalagi para cwe2 rata2 pada pamer TT dan goyang2 ngent*dddd",0
2024-07-11T13:43:07Z,@baguspurnomo1176,Shakira positif vibes banget 😊,0
2024-07-11T13:43:02Z,@sucisoenirdja9924,😁,0
2024-07-11T13:42:58Z,@ayangbaskoro3860,Sepertinya semua ingin berbicara disini😅dr mreka 3 org pintar ini.,0
2024-07-11T13:42:48Z,@ArfaziaAtikah,"background orang tua mereka bagus, siap menikah dan siap punya anak❤",0
2024-07-11T13:42:39Z,@martisasiputri17,HAJII BOOOKK HAJIII,0
2024-07-11T13:42:28Z,@muhammadibrahimaladhim6759,daging semua isinyaaa,1
2024-07-11T13:42:15Z,@onechannel2208,Shakira vibes nya positif bgt seneng aja liatinnya 😁,0
2024-07-11T13:41:18Z,@kia3645,Pingin belajar parenting sama ortu shakira,1
2024-07-11T13:40:59Z,@ArifPanglong,SERU LIAT DENI SUMARGO BEGINI 😭😭😭😭😭😭,0
2024-07-11T13:40:56Z,@iisanitasari,The real anak2 yg keren2 banget,1
2024-07-11T13:40:46Z,@KANOHA_Merajalela,"MASIH KALAH, THORIQ 2 BULAN SUDAH NAIK HAJI , HAJI BOO ...",1
2024-07-11T13:40:43Z,@novitawahyunilubis4939,Kenapa harus asiyapp 😂😂😂,0
